Time,N=1,N=2,N=3,N=4,N=5,N=6,Time
4,0.99825,0.997,0.9965,0.99725,0.99675,0.99575,4000
6,0.996166667,0.995666667,0.995333333,0.995833333,0.9955,0.994833333,6000
8,0.995125,0.99525,0.995625,0.996125,0.995625,0.99525,8000
10,0.9942,0.9945,0.995,0.9953,0.9948,0.9946,10000
12,0.993666667,0.994166667,0.994583333,0.994833333,0.9945,0.99425,12000
14,0.993571429,0.994428571,0.994785714,0.994857143,0.994571429,0.994357143,14000
16,0.9934375,0.9945625,0.994875,0.994875,0.9946875,0.9945625,16000
18,0.993222222,0.994444444,0.994777778,0.994722222,0.994666667,0.994555556,18000
20,0.9928,0.99395,0.99455,0.99455,0.99475,0.99445,20000
22,0.993045455,0.994136364,0.994590909,0.994636364,0.994772727,0.994545455,22000
24,0.993,0.994125,0.994708333,0.994625,0.99475,0.9945,24000
26,0.993,0.994076923,0.994653846,0.994538462,0.994653846,0.994384615,26000
28,0.992642857,0.994035714,0.994607143,0.9945,0.994607143,0.994357143,28000
30,0.9928,0.9938,0.994466667,0.994333333,0.9945,0.994133333,30000
32,0.9928125,0.99375,0.99415625,0.99409375,0.9943125,0.99396875,32000
34,0.992647059,0.993823529,0.994176471,0.994,0.994294118,0.994117647,34000
36,0.992611111,0.993833333,0.99425,0.994111111,0.994222222,0.99425,36000
38,0.992736842,0.993947368,0.994394737,0.994315789,0.994342105,0.994368421,38000
40,0.99285,0.994025,0.99445,0.9944,0.99435,0.994425,40000
42,0.992785714,0.994119048,0.99452381,0.99447619,0.994428571,0.99452381,42000
44,0.992727273,0.994204545,0.994568182,0.994522727,0.994545455,0.994659091,44000
46,0.992630435,0.994021739,0.994391304,0.994478261,0.994478261,0.994630435,46000
48,0.9925,0.993854167,0.9941875,0.994291667,0.994291667,0.994416667,48000
50,0.9923,0.99368,0.994,0.99414,0.9942,0.99436,50000
52,0.992211538,0.993576923,0.993961538,0.994096154,0.994192308,0.994307692,52000
54,0.99212963,0.993537037,0.993888889,0.994018519,0.994055556,0.994148148,54000
56,0.992089286,0.993517857,0.993910714,0.993982143,0.994196429,0.994214286,56000
58,0.992051724,0.993448276,0.99387931,0.994,0.994258621,0.994206897,58000
60,0.992033333,0.99345,0.993916667,0.99405,0.994366667,0.994283333,60000
62,0.991774194,0.993354839,0.993983871,0.994080645,0.994419355,0.994354839,62000
64,0.991765625,0.993296875,0.99396875,0.994078125,0.994390625,0.99434375,64000
66,0.99169697,0.993287879,0.993939394,0.994075758,0.994393939,0.994348485,66000
68,0.991529412,0.993220588,0.993838235,0.994044118,0.994352941,0.994352941,68000
70,0.991442857,0.993171429,0.993757143,0.993985714,0.9943,0.994328571,70000
72,0.99125,0.992986111,0.993611111,0.993833333,0.994194444,0.994208333,72000
74,0.991283784,0.992932432,0.993567568,0.993797297,0.994135135,0.994162162,74000
76,0.99125,0.992907895,0.993644737,0.993802632,0.994157895,0.994118421,76000
78,0.991307692,0.992974359,0.993666667,0.993846154,0.994192308,0.994166667,78000
80,0.9911625,0.99295,0.993625,0.9938625,0.994225,0.9941875,80000
82,0.991170732,0.992841463,0.993487805,0.993804878,0.994146341,0.994085366,82000
84,0.991154762,0.992904762,0.993547619,0.993845238,0.994190476,0.994119048,84000
86,0.991116279,0.992825581,0.993546512,0.993825581,0.994186047,0.994127907,86000
88,0.991090909,0.992806818,0.993545455,0.993829545,0.994193182,0.994170455,88000
90,0.9911,0.992777778,0.993577778,0.993877778,0.994244444,0.9942,90000
92,0.991065217,0.992771739,0.993576087,0.993858696,0.99426087,0.994206522,92000
94,0.991031915,0.992765957,0.993574468,0.99387234,0.994265957,0.994234043,94000
96,0.991,0.992760417,0.993583333,0.993895833,0.99428125,0.994239583,96000
98,0.991010204,0.992795918,0.993622449,0.993897959,0.994316327,0.994265306,98000
100,0.99098,0.9928,0.99363,0.99393,0.99434,0.9943,100000
