Time,c=10,c=20,c=30,c=40,c=50,c=60,Time
4,2.839842987,3.756492373,3.195217493,3.484582827,3.376329813,4.839395413,4000
6,7.684655787,9.010997333,8.50557696,9.583589973,8.88186752,10.90633813,6000
8,14.44530987,17.465888,15.95743061,17.81006549,16.67460523,19.30337621,8000
10,23.45234773,27.46020139,25.91048192,28.27726379,27.07655723,30.37541419,10000
12,34.94195584,41.61865131,39.25346475,41.96649728,40.10624171,43.93910784,12000
14,46.60474667,53.95635243,52.26562048,55.47199957,53.49976875,58.61179776,14000
16,58.65379328,67.18030891,65.32841515,73.79025237,67.0611968,73.94754432,16000
18,71.31200171,80.68453077,79.33193515,88.84890155,80.99100288,89.12321109,18000
20,84.33628117,93.92802091,94.03127296,103.1744764,95.13279403,105.1151411,20000
22,97.32366251,107.2665566,108.6968977,117.6236557,109.3167215,120.7153425,22000
24,109.8633779,120.438819,122.4603797,132.2113732,123.3020672,135.9969045,24000
26,122.3642662,133.7325367,136.1975087,146.3526733,137.6152597,151.4732851,26000
28,135.2184474,149.1901675,150.0068979,160.7659098,151.5570761,166.8381231,28000
30,147.5664695,163.4956698,164.4486797,175.6242778,165.3723119,182.3175258,30000
32,160.0428058,176.9252489,178.6742498,189.9716676,179.2666317,197.035165,32000
34,173.2464098,191.3212902,192.8624465,204.8542221,194.1162261,212.5160201,34000
36,186.689097,205.315328,207.4325777,219.5582797,208.6989261,228.1654767,36000
38,200.9323401,219.0078114,222.1287556,237.3666901,223.4801805,244.2455206,38000
40,214.4088166,232.8290825,237.0988629,253.6491093,238.5424158,262.0778389,40000
42,227.7362671,246.3472828,252.3501559,269.4896853,253.2695014,278.7228544,42000
44,240.0899106,259.6504713,266.0668062,283.8146829,267.4364053,293.5526003,44000
46,252.798659,272.6850095,279.6264196,299.0528107,281.1156873,308.9044066,46000
48,265.7738927,285.9965346,294.3909521,315.9808768,294.9432341,324.431488,48000
50,278.4094609,300.8769033,309.2035089,333.0491379,308.7966703,340.8534959,50000
52,291.3145506,320.7057165,323.7274999,348.371177,323.2824141,356.3271582,52000
54,304.6879398,335.4317367,337.8906014,364.000384,337.8810381,373.2416742,54000
56,318.732006,349.674729,353.7567403,379.3028992,353.0587503,389.7207727,56000
58,333.2312141,366.1766366,368.7427947,394.9153301,367.7613487,405.4440525,58000
60,346.604585,381.1591787,382.6740036,409.7046643,382.5165414,420.5795648,60000
62,360.5386569,395.8163593,397.0479646,424.5988868,397.1190067,435.7977097,62000
64,374.4060975,409.928954,411.6145907,440.3085965,412.089414,451.4789124,64000
66,388.1966613,424.4745071,426.0795622,456.0904431,427.1400862,467.4464994,66000
68,402.1203827,438.6910289,440.9953591,472.9299959,442.4938539,483.7264721,68000
70,416.2914726,452.9611571,455.7654579,490.4441911,457.7300855,500.3906146,70000
72,431.3415531,467.4741756,470.4131541,507.9067392,472.6105591,516.7419908,72000
74,446.2401216,482.4751701,486.0646033,523.5830042,488.6710643,536.3902477,74000
76,462.1667042,497.2183595,501.5379337,539.0478771,503.9200149,560.004794,76000
78,478.0177852,513.82768,516.0946415,554.1401493,518.9142285,580.7166332,78000
80,491.7028907,527.8794253,530.928905,569.6747315,533.5749133,596.5053103,80000
82,504.9649161,542.0120683,546.3324386,585.1808201,550.2167761,613.1840222,82000
84,517.5676467,555.3738671,559.9405606,599.5613299,565.8832934,631.2099767,84000
86,530.1535927,568.6058688,574.1377894,614.6327053,580.6397295,646.1683691,86000
88,543.2136452,582.1067213,589.0601604,630.3884527,595.2057041,661.4394935,88000
90,556.6336636,595.796762,603.9100416,645.4186893,609.8770197,677.2612156,90000
92,569.8609826,610.0641451,618.0132429,660.53097,624.9237099,692.6920188,92000
94,582.8292062,624.1708949,632.5079155,675.3314291,639.7700015,707.8037333,94000
96,595.8818001,637.9498167,647.4026935,690.250112,654.3809075,728.6666364,96000
98,608.6768418,651.4004668,661.1723388,705.2320102,672.4773461,746.1885982,98000
100,621.5854101,665.3998327,675.4818274,721.3135586,686.8310093,763.8161673,100000
