Time,Knn200,Knn100,ECSMiner,Alpha,Time
4,11.26275328,6.826383787,5.45184,3.376329813,4000
6,16.41805099,10.13903147,9.757811627,8.88186752,6000
8,21.41607851,13.62332075,15.52696917,16.67460523,8000
10,26.8205888,16.93595392,23.54248448,27.07655723,10000
12,32.16356139,20.23804715,31.8971136,40.10624171,12000
14,37.65153195,24.14744661,40.96391467,53.49976875,14000
16,43.15004245,27.48692907,48.17123669,67.0611968,16000
18,48.60414592,31.0959552,56.90769749,80.99100288,18000
20,53.63738709,34.73032619,64.36622976,95.13279403,20000
22,58.63592064,38.06421333,72.51037227,109.3167215,22000
24,63.83992661,41.39319083,80.77306752,123.3020672,24000
26,68.81331328,45.02367659,88.78036053,137.6152597,26000
28,74.05214549,48.29307819,98.96596565,151.5570761,28000
30,79.17616128,51.75113472,109.6382204,165.3723119,30000
32,84.18472917,55.13336149,123.366633,179.2666317,32000
34,89.57032704,58.60283307,133.0198221,194.1162261,34000
36,94.6855104,62.18003285,142.9134366,208.6989261,36000
38,100.1138428,65.58116437,153.0680465,223.4801805,38000
40,105.2356139,69.06598955,165.6773628,238.5424158,40000
42,110.3000717,72.56625792,178.1641361,253.2695014,42000
44,115.388006,75.96878165,190.4805167,267.4364053,44000
46,120.9388676,79.39091755,205.9026688,281.1156873,46000
48,126.0007962,82.72869675,219.2128009,294.9432341,48000
50,131.1409801,86.0695936,233.0872644,308.7966703,50000
52,136.5672512,89.51700779,247.2886673,323.2824141,52000
54,141.9561532,93.09246336,260.0805056,337.8810381,54000
56,147.3196604,96.42545493,271.4591211,353.0587503,56000
58,152.2981414,99.81699968,286.0184708,367.7613487,58000
60,157.5417404,103.2125205,296.7339332,382.5165414,60000
62,162.8038741,106.6233438,309.3140834,397.1190067,62000
64,168.1170697,110.1710221,320.0406357,412.089414,64000
66,173.1301577,113.9692949,334.5506483,427.1400862,66000
68,178.53849,117.4038874,351.8712943,442.4938539,68000
70,184.0040474,120.9997107,365.1643281,457.7300855,70000
72,189.8019682,124.7196821,380.617111,472.6105591,72000
74,195.2836471,128.2784141,393.3173948,488.6710643,74000
76,200.2643759,131.9445521,410.2552004,503.9200149,76000
78,205.3754411,135.36857,425.2403149,518.9142285,78000
80,210.3738415,138.7791509,438.1436962,533.5749133,80000
82,215.4006054,142.2345037,451.5556348,550.2167761,82000
84,221.6114991,145.5658697,468.0036181,565.8832934,84000
86,227.1792017,149.3909781,484.3844663,580.6397295,86000
88,233.7160845,152.7755302,501.0278012,595.2057041,88000
90,240.1844625,156.1252489,515.9574588,609.8770197,90000
92,246.6643136,159.6935091,532.6957419,624.9237099,92000
94,252.9669453,163.0923375,547.6110993,639.7700015,94000
96,260.4473143,166.9367095,564.1106052,654.3809075,96000
98,268.0289621,171.6782481,584.3335194,672.4773461,98000
100,273.5607185,175.1684023,602.1275315,686.8310093,100000
