Time,k=1,k=2,k=3,k=4,k=5,k=6,Time
4,0.99675,0.973,0.97925,0.9655,0.96525,0.96275,4000
6,0.9955,0.978,0.983333333,0.962333333,0.965333333,0.960833333,6000
8,0.995625,0.981125,0.985875,0.969375,0.971875,0.95875,8000
10,0.9948,0.9828,0.9877,0.974,0.9763,0.9653,10000
12,0.9945,0.984333333,0.9885,0.976666667,0.978666667,0.969416667,12000
14,0.994571429,0.984928571,0.989428571,0.978642857,0.980642857,0.972071429,14000
16,0.9946875,0.9861875,0.99025,0.9805,0.9823125,0.9748125,16000
18,0.994666667,0.987,0.9905,0.981944444,0.983611111,0.976944444,18000
20,0.99475,0.98755,0.99095,0.9831,0.98445,0.97835,20000
22,0.994772727,0.988272727,0.991545455,0.984227273,0.9855,0.979772727,22000
24,0.99475,0.988666667,0.991791667,0.984958333,0.986166667,0.980833333,24000
26,0.994653846,0.988961538,0.992,0.985615385,0.986807692,0.981807692,26000
28,0.994607143,0.989214286,0.992107143,0.98625,0.987392857,0.982821429,28000
30,0.9945,0.9893,0.9922,0.9867,0.987966667,0.983666667,30000
32,0.9943125,0.98915625,0.99225,0.98703125,0.9883125,0.98425,32000
34,0.994294118,0.989323529,0.992352941,0.987470588,0.988647059,0.984882353,34000
36,0.994222222,0.989416667,0.992472222,0.987833333,0.988861111,0.985277778,36000
38,0.994342105,0.989736842,0.992657895,0.988263158,0.989157895,0.985763158,38000
40,0.99435,0.989825,0.99275,0.9885,0.9895,0.986175,40000
42,0.994428571,0.99,0.992880952,0.988738095,0.989690476,0.98647619,42000
44,0.994545455,0.990227273,0.992977273,0.989,0.989863636,0.986818182,44000
46,0.994478261,0.990282609,0.992956522,0.989108696,0.989934783,0.986956522,46000
48,0.994291667,0.990208333,0.992895833,0.989208333,0.99,0.987125,48000
50,0.9942,0.99018,0.99284,0.98916,0.99002,0.98712,50000
52,0.994192308,0.990173077,0.992788462,0.98925,0.990096154,0.987326923,52000
54,0.994055556,0.990074074,0.992759259,0.989314815,0.990166667,0.987462963,54000
56,0.994196429,0.990089286,0.992857143,0.989464286,0.990285714,0.987642857,56000
58,0.994258621,0.990137931,0.992844828,0.989517241,0.990344828,0.987689655,58000
60,0.994366667,0.990316667,0.9929,0.989683333,0.990433333,0.987833333,60000
62,0.994419355,0.990370968,0.992951613,0.989741935,0.990548387,0.988048387,62000
64,0.994390625,0.99034375,0.99296875,0.98984375,0.990640625,0.9881875,64000
66,0.994393939,0.990424242,0.993,0.989924242,0.990712121,0.988272727,66000
68,0.994352941,0.990441176,0.993044118,0.989985294,0.990794118,0.988426471,68000
70,0.9943,0.990414286,0.993042857,0.990014286,0.990785714,0.988485714,70000
72,0.994194444,0.99025,0.992888889,0.989861111,0.990652778,0.988361111,72000
74,0.994135135,0.990216216,0.992824324,0.989702703,0.990554054,0.98827027,74000
76,0.994157895,0.990236842,0.992789474,0.989671053,0.990565789,0.988342105,76000
78,0.994192308,0.990269231,0.992846154,0.98974359,0.990653846,0.988487179,78000
80,0.994225,0.990325,0.992875,0.989825,0.9907125,0.9886,80000
82,0.994146341,0.990317073,0.992780488,0.989792683,0.990670732,0.988573171,82000
84,0.994190476,0.990404762,0.992869048,0.989892857,0.990738095,0.988666667,84000
86,0.994186047,0.990406977,0.992872093,0.98994186,0.990755814,0.988732558,86000
88,0.994193182,0.990397727,0.992875,0.989977273,0.990772727,0.988761364,88000
90,0.994244444,0.990477778,0.992944444,0.990088889,0.990866667,0.988877778,90000
92,0.99426087,0.99048913,0.992934783,0.990130435,0.990902174,0.988902174,92000
94,0.994265957,0.99056383,0.992957447,0.990202128,0.99093617,0.988978723,94000
96,0.99428125,0.99059375,0.992958333,0.990208333,0.990979167,0.989041667,96000
98,0.994316327,0.990612245,0.992989796,0.990265306,0.991061224,0.989132653,98000
100,0.99434,0.99068,0.99301,0.99031,0.99112,0.9892,100000
