Time,w=100,w=500,w=1000,w=1500,w=2000,w=2500,Time
4,0.98875,0.99375,0.9955,0.99525,0.99675,0.99425,4000
6,0.989333333,0.993833333,0.995166667,0.9945,0.9955,0.993166667,6000
8,0.98825,0.994125,0.99525,0.995125,0.995625,0.9935,8000
10,0.988,0.9943,0.9952,0.9945,0.9948,0.9935,10000
12,0.988,0.99425,0.994916667,0.994583333,0.9945,0.993583333,12000
14,0.987714286,0.994428571,0.995071429,0.994785714,0.994571429,0.993642857,14000
16,0.987875,0.9943125,0.995125,0.9949375,0.9946875,0.993875,16000
18,0.987666667,0.993944444,0.995,0.994777778,0.994666667,0.993944444,18000
20,0.98785,0.99405,0.99495,0.99475,0.99475,0.99395,20000
22,0.988181818,0.994318182,0.995,0.994772727,0.994772727,0.994136364,22000
24,0.98825,0.994375,0.995125,0.99475,0.99475,0.99425,24000
26,0.988346154,0.994230769,0.995,0.994615385,0.994653846,0.994153846,26000
28,0.988214286,0.994178571,0.995071429,0.994642857,0.994607143,0.993964286,28000
30,0.9881,0.9942,0.9949,0.994533333,0.9945,0.9937,30000
32,0.98815625,0.9943125,0.994875,0.9943125,0.9943125,0.99359375,32000
34,0.988058824,0.994235294,0.994823529,0.994352941,0.994294118,0.993676471,34000
36,0.988111111,0.994361111,0.994888889,0.994472222,0.994222222,0.993777778,36000
38,0.988078947,0.994394737,0.995026316,0.994631579,0.994342105,0.993947368,38000
40,0.988,0.994375,0.9951,0.994725,0.99435,0.993975,40000
42,0.988071429,0.994380952,0.995166667,0.994785714,0.994428571,0.994071429,42000
44,0.988090909,0.994363636,0.995181818,0.994818182,0.994545455,0.994204545,44000
46,0.988,0.994217391,0.995043478,0.994782609,0.994478261,0.994304348,46000
48,0.988,0.993979167,0.9948125,0.994625,0.994291667,0.994104167,48000
50,0.98784,0.99386,0.99462,0.99448,0.9942,0.99396,50000
52,0.987673077,0.99375,0.994538462,0.994423077,0.994192308,0.993903846,52000
54,0.987759259,0.993722222,0.994555556,0.994351852,0.994055556,0.993666667,54000
56,0.987696429,0.993678571,0.994571429,0.994392857,0.994196429,0.993607143,56000
58,0.987689655,0.993655172,0.994534483,0.994396552,0.994258621,0.993534483,58000
60,0.987566667,0.993633333,0.994566667,0.99445,0.994366667,0.99365,60000
62,0.987532258,0.993612903,0.994564516,0.9945,0.994419355,0.993693548,62000
64,0.987421875,0.993609375,0.9945,0.994453125,0.994390625,0.99371875,64000
66,0.987348485,0.993484848,0.994484848,0.994454545,0.994393939,0.993727273,66000
68,0.987264706,0.993367647,0.994367647,0.994397059,0.994352941,0.993720588,68000
70,0.987242857,0.9934,0.994342857,0.994342857,0.9943,0.993685714,70000
72,0.987194444,0.993319444,0.994277778,0.994194444,0.994194444,0.993555556,72000
74,0.987243243,0.993405405,0.994297297,0.994189189,0.994135135,0.993527027,74000
76,0.987236842,0.993434211,0.99425,0.99425,0.994157895,0.9935,76000
78,0.987153846,0.993474359,0.994307692,0.99425641,0.994192308,0.993564103,78000
80,0.9870875,0.9934375,0.9942875,0.9942625,0.994225,0.99355,80000
82,0.987012195,0.993390244,0.994195122,0.994134146,0.994146341,0.993463415,82000
84,0.98702381,0.993428571,0.99425,0.994166667,0.994190476,0.9935,84000
86,0.986930233,0.993325581,0.99422093,0.994127907,0.994186047,0.9935,86000
88,0.986943182,0.993340909,0.994181818,0.994125,0.994193182,0.993545455,88000
90,0.986922222,0.993322222,0.9942,0.994188889,0.994244444,0.993566667,90000
92,0.987,0.993282609,0.994195652,0.994163043,0.99426087,0.993554348,92000
94,0.987031915,0.993351064,0.994234043,0.994180851,0.994265957,0.993553191,94000
96,0.987020833,0.993322917,0.994239583,0.994208333,0.99428125,0.993572917,96000
98,0.987040816,0.993326531,0.994265306,0.99422449,0.994316327,0.993571429,98000
100,0.98697,0.99332,0.99429,0.99424,0.99434,0.9936,100000
